//mission@[ID]>>[CHALLENGE-MAPUUID],[TYPE],[TYPE-PRM],[REWARD]
ids<>:mission@0>>98b0147e-830f-db89-6f3d-b79afb7d7e40,SCORE,7000000,53dbeb27-d57f-0cd4-6655-c9892ccd1a39
ids<>:mission@1>>98b0147e-830f-db89-6f3d-b79afb7d7e40,SCORE,7000000,53dbeb27-d57f-0cd4-6655-c9892ccd1a39
ids<>:mission@2>>98b0147e-830f-db89-6f3d-b79afb7d7e40,SCORE,7000000,53dbeb27-d57f-0cd4-6655-c9892ccd1a39
ids<>:mission@3>>98b0147e-830f-db89-6f3d-b79afb7d7e40,SCORE,7000000,53dbeb27-d57f-0cd4-6655-c9892ccd1a39
ids<>:mission@4>>98b0147e-830f-db89-6f3d-b79afb7d7e40,SCORE,7000000,53dbeb27-d57f-0cd4-6655-c9892ccd1a39
ids<>:mission@5>>98b0147e-830f-db89-6f3d-b79afb7d7e40,SCORE,7000000,53dbeb27-d57f-0cd4-6655-c9892ccd1a39
ids<>:mission@6>>98b0147e-830f-db89-6f3d-b79afb7d7e40,SCORE,7000000,53dbeb27-d57f-0cd4-6655-c9892ccd1a39
ids<>:mission@7>>98b0147e-830f-db89-6f3d-b79afb7d7e40,SCORE,7000000,53dbeb27-d57f-0cd4-6655-c9892ccd1a39
ids<>:mission@8>>98b0147e-830f-db89-6f3d-b79afb7d7e40,SCORE,7000000,53dbeb27-d57f-0cd4-6655-c9892ccd1a39
ids<>:mission@9>>98b0147e-830f-db89-6f3d-b79afb7d7e40,SCORE,7000000,53dbeb27-d57f-0cd4-6655-c9892ccd1a39
